judul_film,ringkasan_sinopsis,genre
Sunan Kalijaga,"Raden Mas Said putra sulung Tumenggung Wilarikta di bawah Kerajaan Majapahit yang berkuasa di wilayah Tuban melihat sekeluarga miskin yang menderita busung lapar. Ia merasa sangat prihatin dan hati nuraninya tergugah untuk menolong. Kemudian ia mencoba secara diam-diam mengambil makanan dari lumbung orang tuanya. Perbuatan itu tidak disetujui orang tuanya bahkan ia dihukum sekap di gudang makanan itu. Sejak kejadian itu RM Said yang tumbuh dewasa tidak betah tinggal di rumah. Ia berkelana dari daerah satu ke daerah lainnya. Dari sanalah ia tahu betapa banyak penyelewengan dan kesewenang-wenangan para lurah yang munafik. Mereka selalu mengkambing-hitamkan Tumenggung untuk menutupi kejahatannya. Atas laporan RM Said ayahnya kemudian sadar. Tetapi kemudian ia dianggap sebagai sumber fitnah. Dalam kelananya kemudian ia bertemu dengan Sunan Bonang yang banyak mencurahkan ilmunya kepada RM Said. Ia pun kemudian melakukan tapa di pinggir kali. Berkat ketabahannya menghadapi berbagai cobaan RM Said mendapatkan ""Nur"" (kekuatan) dari Ilahi. Kemudian ia diangkat menjadi Wali yang terkenal dalam deretan nama Sembilan Wali (Wali Sanga) dengan nama Sunan Kalijaga.",Drama
Gie,Soe Hok Gie adalah seorang aktivis yang hidup di tahun enam puluhan. Terletak di era paling gelap sejarah modern Indonesia GIE adalah interpretasi dari apa yang terjadi berdasarkan jurnalnya.,Drama
Guru Bangsa Tjokroaminoto,Guru Bangsa Tjokroaminoto menceritakan tentang setelah lepas dari era tanam paksa di akhir tahun 1800 Hindia Belanda memasuki babak baru yang berpengaruh dalam kehidupan masyarakatnya yaitu dengan gerakan politik etis yang dilakukan oleh pemerintah Belanda. Tetapi kemiskinan masih banyak terjadi. Rakyat banyak yang belum mengenyam pendidikan dan kesenjangan sosial antaretnis dan kasta masih terlihat jelas.,Drama
POL Movie,POL menceritakan kisah hidup yang luar biasa dari 3 pemain skateboard terbaik Indonesia; Rino Herman Mario Palandeng dan Indra Leonardo mencatat perjuangan dan pengorbanan yang dibutuhkan untuk membuatnya di dunia ini. Disutradarai oleh sutradara pemenang penghargaan Dave Arnold yang menunjukkan sisi untuk skateboard dan Indonesia jarang memamerkan POL adalah bukan untuk dokumenter keuntungan itu adalah sebuah banding kepada pemerintah dan sektor swasta Indonesia untuk mendukung skateboard sebagai gerakan untuk menciptakan lebih banyak publik fasilitas skate dan mengakui skateboard sebagai dampak positif pada pemuda Indonesia.,Drama
Sang pencerah,Perjalanan pahlawan Indonesia KH Ahmad Dahlan berjuang untuk Muhammadiyah sebuah organisasi Islam dan bagaimana ia ditolak oleh masyarakat saat ia berusaha memperbaiki perspektif mereka.,Drama
Sundul Gan: The Story of Kaskus,Di Seattle ketika menyadari Andrew Darwis adalah orang yang menciptakan Kaskus Ken Dean seorang pria dengan hasrat besar dengan cepat membujuk Andrew untuk kembali ke Indonesia agar mereka dapat memperluas situs ini bersama-sama karena dia yakin bahwa ada potensi besar di dalamnya. Namun Andrew ragu-ragu sampai Ken memancingnya ke Indonesia. Dari pinjaman mereka perlahan membangun kantor untuk mereka. Tetapi Ken yang sibuk mencari investor dan mengatur pernikahannya sendiri membuatnya hampir tidak pernah berada di kantor. Setelah beberapa waktu Andrew merasa Ken tidak melakukan apa pun untuk perusahaan. Undang-undang anti-pornografi menghadirkan tantangan lain ketika Andrew harus membuat salah satu tantangan yang paling sulit dalam hidupnya. Antara persahabatan yang lemah dan serangan ke situs mereka membuat mereka tidak dapat digunakan dapatkah Ken dan Andrew mengatasi masalah ini untuk menyelamatkan bisnis dan persahabatan mereka?,Drama
Maju Terus!,"Orang buangan Maluku di Belanda telah dicap sebagai kegagalan. Para pembuat film melawan kesalahpahaman ini yang menunjukkan bahwa orang Maluku sebenarnya cukup berhasil ketika dinilai oleh tempat budaya mereka sendiri yang digunakan untuk menafsirkan persidangan dan kesengsaraan yang dialami pertama sebagai prajurit di tentara kolonial Belanda di tanah air mereka, Indonesia, dan setelah Perang Dunia II, sebagai pengungsi di Belanda menentang, terkadang dengan kasar, integrasi. Menemukan kembali diri mereka masing-masing generasi, orang Maluku menjamin kelangsungan hidup etnis mereka meskipun sangat kawin campur dengan Belanda dan akhirnya menyerah pada cara hidup orang Belanda. Pembuat film Maluku asli, Helen Huwae, membimbing kami melalui cobaan keluarganya, simbolis dari semua orang buangan. Film ini memiliki relevansi yang besar mengingat debat imigrasi dan integrasi panas di Eropa, Amerika Utara dan tempat lain di dunia.",Drama
Pendidik Berjiwa Merdeka,"Ketika kita membahas tentang pendidikan di Indonesia, kita harus berbicara tentang Ki Hadjar Dewantara. Dia adalah ayah besar pendidikan yang memperjuangkan hak warga negara dari kolonialisme dan juga pendiri Taman Siswa. Semboyan terkenal dari ajarannya adalah Tut Wuri Handayani (Berdiri pada akhirnya untuk sepenuhnya memberikan dukungan) telah menjadi slogan pendidikan kami. Namun, apakah ajaran ini telah dikenal dan diterapkan dalam sistem pendidikan kita saat ini? Melalui berbagi Nyi Iman Sudiyat dan guru di Taman Siswa akan berbagi pendapat mereka tentang Ki Hadjar Dewantara dan prinsip pengajarannya. Ini adalah untuk memberikan inspirasi yang lebih terang dan mendalam untuk pendidikan kita",Drama
Jokowi,ni adalah cerita seorang anak tukang kayu bernama Joko Widodo yang tinggal dan hidup di rumah kecil pinggiran sungai. Masa kanak-kanak yang jauh dari istilah berkecukupan telah dilaluinya. Namun hal itu tidak menyurutkan semangat anak kampung pemburu telor bebek ini untuk meneruskan sekolahnya ke pendidikan yang lebih tinggi. Kecintaannya pada Musik Rock yang tetap bertahan hingga saat ia menjadi pemimpin besar nantinya itu seolah mampu memotivasi semangat hidupnya. Kisah cinta dengan Iriana seorang gadis sederhana teman sekolah adiknya menjadi pendorong semangat sang pemimpin masa depan ini untuk menghadapi berbagai tantangan. Sepeninggal Pak Notomiharjo orang tua guru sekaligus sahabatnya Joko seperti tak mau tenggelam dalam kedukaan. Usahanya untuk membuktikan semua pelajaran dari sang ayah makin keras ia lakukan. Dan waktu mengantarkan anak bantaran kali ini menjadi sosok yang bukan hanya besar dimata orang-orang disekitarnya namun juga rendah hati dan selalu memanusiakan sesamanya. Dari pinggiran sungai di desa kecil bernama Srambatan Joko telah mampu tampil menjadi pemimpin kota yang menulis lembar sejarah baru.,Drama
Jaka Sembung & Bergola Ijo,Film ini menceritakan mengenai perjalanan lanjutan dari Jaka Sembung menempuh kehidupannya,Drama
